         162598121 function calls (162250956 primitive calls) in 223.822 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.944    0.094 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:1141(apply_standard)
       59    0.001    0.000    0.940    0.016 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:4512(_drop_axis)
       10    0.157    0.016    0.935    0.094 {pandas._libs.lib.map_infer}
  147/143    0.001    0.000    0.921    0.006 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:3952(__setitem__)
      146    0.001    0.000    0.918    0.006 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:4161(_set_item)
   667878    0.420    0.000    0.916    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/indexes/base.py:5975(_get_values_for_loc)
      117    0.000    0.000    0.914    0.008 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:494(to_native_types)
     3393    0.008    0.000    0.902    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:538(to_native_types)
     3393    0.024    0.000    0.860    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2280(to_native_types)
   756660    0.418    0.000    0.843    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1591(_is_dtype_type)
   145275    0.565    0.000    0.840    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:483(_InverseStart)
173551/173527    0.661    0.000    0.808    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:5904(__setattr__)
      758    0.003    0.000    0.787    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/algorithms.py:1480(take)
      110    0.001    0.000    0.754    0.007 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/construction.py:100(arrays_to_mgr)
   483362    0.407    0.000    0.749    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:194(_A1m1f)
      110    0.001    0.000    0.743    0.007 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2148(create_block_manager_from_column_arrays)
      110    0.003    0.000    0.741    0.007 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2219(_form_blocks)
      184    0.593    0.003    0.732    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2271(_stack_arrays)
      156    0.718    0.005    0.718    0.005 {pandas._libs.algos.take_2d_axis1_object_object}
   668502    0.439    0.000    0.677    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/indexes/base.py:3755(get_loc)
  2582880    0.509    0.000    0.673    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/point.py:61(<genexpr>)
      613    0.671    0.001    0.671    0.001 {pandas._libs.algos.take_1d_object_object}
     1364    0.657    0.000    0.657    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
     1310    0.001    0.000    0.657    0.001 /usr/lib/python3.8/xml/etree/ElementTree.py:1268(feed)
   669293    0.533    0.000    0.636    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/indexes/base.py:5295(__contains__)
